35 37 59 71 74 75 77 90 115 118 130 146 158 212 213 217 218 232 236 237
8.6697 8.5581 8.6567 8.6689 8.5761 8.6043 8.5599 8.5937 8.7042 8.5953 8.4511 8.4476 8.508 8.5902 8.5448 8.5893 8.5972 8.6145 8.5963 8.4857
